46.229.168.80 - - [02/Sep/2018:08:00:12 +0200] "GET /galerie HTTP/1.1" 301 313
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 48314
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_l_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_b_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_open.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_m_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_r_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_close.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:30 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:40 +0200] "GET /%c3%bcber-uns.shtml HTTP/1.1" 200 30594
78.47.26.105 - - [02/Sep/2018:08:28:40 +0200] "GET /css/skeleton.css HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:40 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
78.47.26.105 - - [02/Sep/2018:08:28:40 +0200] "GET /var/m_0/0d/0dd/12455/126125-42_Standort.JPG HTTP/1.1" 200 63490
78.47.26.105 - - [02/Sep/2018:08:28:40 +0200] "GET /var/m_0/0d/0dd/12455/126124-41_Wetter.JPG HTTP/1.1" 200 26919
78.47.26.105 - - [02/Sep/2018:08:28:40 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 301 333
78.47.26.105 - - [02/Sep/2018:08:28:40 +0200] "GET /var/m_0/0d/0dd/12455/119662-DSC_7544.JPG HTTP/1.1" 200 65485
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_b_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_open.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_m_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_r_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_close.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:41 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_l_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:50 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 30446
78.47.26.105 - - [02/Sep/2018:08:28:50 +0200] "GET /css/skeleton.css HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:50 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:50 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:50 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:50 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:51 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_open.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:51 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_l_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:51 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_r_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:51 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_m_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:51 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_close.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:28:51 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_b_bottom.png HTTP/1.1" 304 -
78.47.26.105 - - [02/Sep/2018:08:30:10 +0200] "GET /%c3%bcber-uns.shtml HTTP/1.1" 200 30593
216.244.66.248 - - [02/Sep/2018:08:32:21 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [02/Sep/2018:08:32:22 +0200] "GET /robots.txt HTTP/1.1" 200 120
35.204.54.232 - - [02/Sep/2018:08:32:52 +0200] "GET /gfx/files/flash.png HTTP/1.1" 301 325
35.204.54.232 - - [02/Sep/2018:08:32:52 +0200] "GET /gfx/files/flash.png HTTP/1.1" 200 3490
77.75.76.172 - - [02/Sep/2018:08:36:38 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.76.172 - - [02/Sep/2018:08:36:39 +0200] "GET /davosersee HTTP/1.1" 200 31405
72.175.244.198 - - [02/Sep/2018:08:39:27 +0200] "GET / HTTP/1.1" 301 314
72.175.244.198 - - [02/Sep/2018:08:39:27 +0200] "GET /https://https://www.davossail.ch/https:/www.davossail.ch HTTP/1.1" 301 368
72.175.244.198 - - [02/Sep/2018:08:39:27 +0200] "GET /https://www.davossail.ch HTTP/1.1" 301 337
46.229.168.73 - - [02/Sep/2018:08:42:15 +0200] "GET /galerie HTTP/1.1" 200 30730
95.163.255.23 - - [02/Sep/2018:08:42:59 +0200] "GET /robots.txt HTTP/1.0" 200 120
95.163.255.27 - - [02/Sep/2018:08:43:02 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
216.244.66.248 - - [02/Sep/2018:08:45:39 +0200] "GET /gallery/displayimage.php?album=2&pos=14 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:45:44 +0200] "GET /gallery/displayimage.php?album=4&pos=6 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:25 +0200] "GET /gallery/displayimage.php?album=lastup&cat=0&pos=29 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:30 +0200] "GET /gallery/displayimage.php?album=topn&cat=-4&pos=4 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:34 +0200] "GET /gallery/displayimage.php?album=topn&cat=0&pos=105 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:39 +0200] "GET /gallery/displayimage.php?album=toprated&cat=-3&pos=2 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:43 +0200] "GET /gallery/displayimage.php?album=toprated&cat=-4&pos=43 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:47 +0200] "GET /gallery/displayimage.php?album=toprated&cat=-5&pos=3 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:51 +0200] "GET /gallery/displayimage.php?album=toprated&cat=0&pos=44 HTTP/1.1" 200 222
216.244.66.248 - - [02/Sep/2018:08:46:55 +0200] "GET /gallery/thumbnails.php?album=5&page=1&sort=ta HTTP/1.1" 200 220
216.244.66.248 - - [02/Sep/2018:08:46:59 +0200] "GET /gallery/thumbnails.php?album=toprated&cat=0&page=7 HTTP/1.1" 200 220
216.244.66.248 - - [02/Sep/2018:08:48:02 +0200] "GET /var/m_0/0d/0dd/12455/7230904-G5_Matchracing_01.jpg HTTP/1.1" 200 64265
157.55.39.109 - - [02/Sep/2018:08:58:12 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 31473
