68.180.229.163 - - [29/Jan/2018:19:40:39 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 4575
91.239.52.10 - - [29/Jan/2018:19:47:28 +0100] "GET /kurse.shtml HTTP/1.1" 200 6280
91.239.52.10 - - [29/Jan/2018:19:47:32 +0100] "GET /davosersee.shtml HTTP/1.1" 200 5477
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
91.239.52.10 - - [29/Jan/2018:19:47:33 +0100] "GET /templates/resellers/7/favicon.ico?v=1506147110 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 5342
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /js/fancybox2/jquery.fancybox.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 1020
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /js/fancybox2/jquery.fancybox.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 6267
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /js/efu/w.gallery.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 181
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /js/efu/main.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1746
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /js/galleryLightbox/gallery-paging.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1107
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /templates/resellers/7/favicon.ico?v=1506147116 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /var/m_0/0d/0dd/12455/7230969-37_Pedalo2.jpg HTTP/1.1" 200 107785
91.239.52.10 - - [29/Jan/2018:19:47:43 +0100] "GET /var/m_0/0d/0dd/12455/7230981-37_Pedalo3.jpg HTTP/1.1" 200 76841
91.239.52.10 - - [29/Jan/2018:19:47:48 +0100] "GET /vermietung.shtml HTTP/1.1" 200 5099
91.239.52.10 - - [29/Jan/2018:19:47:48 +0100] "GET /templates/resellers/7/favicon.ico?v=1506147147 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:47:48 +0100] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
91.239.52.10 - - [29/Jan/2018:19:47:48 +0100] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
91.239.52.10 - - [29/Jan/2018:19:47:48 +0100] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
91.239.52.10 - - [29/Jan/2018:19:47:48 +0100] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
91.239.52.10 - - [29/Jan/2018:19:47:48 +0100] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
91.239.52.10 - - [29/Jan/2018:19:48:07 +0100] "GET /davosersee.shtml HTTP/1.1" 200 5477
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /kurse.shtml HTTP/1.1" 200 6280
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
91.239.52.10 - - [29/Jan/2018:19:48:09 +0100] "GET /templates/resellers/7/favicon.ico?v=1506147134 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:48:10 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 5378
91.239.52.10 - - [29/Jan/2018:19:48:10 +0100] "GET /templates/resellers/7/favicon.ico?v=1506149034 HTTP/1.1" 200 4286
