112.123.40.14 - - [18/Oct/2019:09:00:07 +0200] "GET /var/m_0/0d/0dd/12455/6564669-G3_SKT2015_03.jpg HTTP/1.1" 200 114866
118.120.187.172 - - [18/Oct/2019:09:06:18 +0200] "GET /var/m_0/0d/0dd/12455/9114398-g6_SSL_Davos2017_15.jpg HTTP/1.1" 200 69417
115.208.182.214 - - [18/Oct/2019:09:06:41 +0200] "GET /var/m_0/0d/0dd/12455/6564734-G3_SKT2015_59.jpg HTTP/1.1" 200 117702
124.112.94.156 - - [18/Oct/2019:09:06:42 +0200] "GET /var/m_0/0d/0dd/12455/9564521-Corsaire_0016.w640.JPG HTTP/1.1" 200 70809
175.44.109.207 - - [18/Oct/2019:09:07:06 +0200] "GET /var/m_0/0d/0dd/12455/6564681-G3_SKT2015_12.jpg HTTP/1.1" 200 148086
83.59.213.157 - - [18/Oct/2019:09:07:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
83.59.213.157 - - [18/Oct/2019:09:07:09 +0200] "GET /events.shtml HTTP/1.1" 200 5451
83.59.213.157 - - [18/Oct/2019:09:07:09 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
83.59.213.157 - - [18/Oct/2019:09:07:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /templates/resellers/7/favicon.ico?v=1567475506 HTTP/1.1" 200 4286
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /var/m_0/0d/0dd/12455/7230969-37_Pedalo2.jpg HTTP/1.1" 200 107785
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /js/bundles/front_bundle.min.js?v=7.2.44561 HTTP/1.1" 200 46210
83.59.213.157 - - [18/Oct/2019:09:07:10 +0200] "GET /davosersee.shtml HTTP/1.1" 200 5680
83.59.213.157 - - [18/Oct/2019:09:07:11 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
83.59.213.157 - - [18/Oct/2019:09:07:11 +0200] "GET /templates/resellers/7/favicon.ico?v=1567428274 HTTP/1.1" 200 4286
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /templates/resellers/7/favicon.ico?v=1567411060 HTTP/1.1" 200 4286
83.59.213.157 - - [18/Oct/2019:09:07:11 +0200] "GET / HTTP/1.1" 200 6832
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/125492-12_Galerie.jpg HTTP/1.1" 200 34896
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
83.59.213.157 - - [18/Oct/2019:09:07:12 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
207.46.13.111 - - [18/Oct/2019:09:09:13 +0200] "GET / HTTP/1.1" 301 617
216.244.66.248 - - [18/Oct/2019:09:14:18 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [18/Oct/2019:09:14:18 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [18/Oct/2019:09:14:18 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [18/Oct/2019:09:14:18 +0200] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.186 - - [18/Oct/2019:09:14:36 +0200] "GET / HTTP/1.1" 200 7964
178.192.157.131 - - [18/Oct/2019:09:25:58 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5299
178.192.157.131 - - [18/Oct/2019:09:25:58 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4478
178.192.157.131 - - [18/Oct/2019:09:26:00 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 4478
178.192.157.131 - - [18/Oct/2019:09:26:01 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5264
178.192.157.131 - - [18/Oct/2019:09:26:01 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4477
178.192.157.131 - - [18/Oct/2019:09:26:02 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 4478
216.244.66.248 - - [18/Oct/2019:09:48:26 +0200] "GET /gallery/displayimage.php?album=4&pid=127&slideshow=5000 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:09:48:31 +0200] "GET /gallery/displayimage.php?album=topn&cat=-3&pos=20 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:09:48:35 +0200] "GET /gallery/displayimage.php?album=topn&cat=-3&pos=5 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:09:48:39 +0200] "GET /gallery/displayimage.php?album=topn&cat=0&pos=94 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:09:48:43 +0200] "GET /gallery/displayimage.php?album=toprated&cat=-3&pos=0 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:09:48:47 +0200] "GET /gallery/displayimage.php?album=toprated&cat=-3&pos=5 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:09:48:51 +0200] "GET /gallery/displayimage.php?album=toprated&cat=0&pos=2 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:09:48:55 +0200] "GET /gallery/thumbnails.php?album=3&page=3&sort=td HTTP/1.1" 404 220
207.46.13.222 - - [18/Oct/2019:09:51:03 +0200] "GET /index.php HTTP/1.1" 301 617
115.208.68.187 - - [18/Oct/2019:09:53:47 +0200] "GET /var/m_0/0d/0dd/12455/9564479-Corsaire_0002.w640.JPG HTTP/1.1" 200 70599
116.55.174.120 - - [18/Oct/2019:09:53:57 +0200] "GET /var/m_0/0d/0dd/12455/9777077-FB2019_05_Gy-c20ad.w640.jpg HTTP/1.1" 200 70617
36.4.85.67 - - [18/Oct/2019:09:55:33 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 6620
112.252.122.156 - - [18/Oct/2019:09:55:49 +0200] "GET /var/m_0/0d/0dd/12455/143512-G2_Optikurs2014_07.jpg HTTP/1.1" 200 120979
36.6.134.227 - - [18/Oct/2019:09:56:06 +0200] "GET /var/m_0/0d/0dd/12455/6564743-G3_SKT2015_67.jpg HTTP/1.1" 200 99796
60.185.41.197 - - [18/Oct/2019:09:56:08 +0200] "GET /var/m_0/0d/0dd/12455/6564703-G3_SKT2015_32.jpg HTTP/1.1" 200 112691
125.86.166.96 - - [18/Oct/2019:09:56:33 +0200] "GET /var/m_0/0d/0dd/12455/6564673-G3_SKT2015_06.jpg HTTP/1.1" 200 122324
125.86.166.118 - - [18/Oct/2019:09:57:46 +0200] "GET /var/m_0/0d/0dd/12455/143501-G1_SKT2014_23.JPG HTTP/1.1" 200 144811
182.101.201.54 - - [18/Oct/2019:09:57:56 +0200] "GET /var/m_0/0d/0dd/12455/143484-G1_SKT2014_08.JPG HTTP/1.1" 200 146571
183.166.93.223 - - [18/Oct/2019:09:58:01 +0200] "GET /var/m_0/0d/0dd/12455/143488-G1_SKT2014_11.JPG HTTP/1.1" 200 120429
153.101.230.142 - - [18/Oct/2019:09:58:37 +0200] "GET /var/m_0/0d/0dd/12455/9564551-SSL2018_04.w640.jpg HTTP/1.1" 200 60698
123.179.128.31 - - [18/Oct/2019:09:58:39 +0200] "GET /var/m_0/0d/0dd/12455/143494-G1_SKT2014_16.JPG HTTP/1.1" 200 110813
216.244.66.248 - - [18/Oct/2019:09:59:00 +0200] "GET /var/m_0/0d/0dd/12455/9114341-G3_SKT2018_14.jpg HTTP/1.1" 200 132760
207.46.13.222 - - [18/Oct/2019:09:59:00 +0200] "GET /flotte HTTP/1.1" 301 617
183.56.107.70 - - [18/Oct/2019:09:59:14 +0200] "GET /var/m_0/0d/0dd/12455/9777068-FB2019_02_Gy-6512b.w640.jpg HTTP/1.1" 200 64056
216.244.66.248 - - [18/Oct/2019:10:00:35 +0200] "GET /var/m_0/0d/0dd/12455/9564506-Corsaire_0011.w1024.JPG HTTP/1.1" 200 89415
121.234.71.76 - - [18/Oct/2019:10:01:03 +0200] "GET /var/m_0/0d/0dd/12455/9114317-G3_SKT2018_06.jpg HTTP/1.1" 200 156727
216.244.66.248 - - [18/Oct/2019:10:11:55 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [18/Oct/2019:10:11:56 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.152 - - [18/Oct/2019:10:21:49 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.133 - - [18/Oct/2019:10:21:50 +0200] "GET /segel-grundkurs HTTP/1.1" 200 6190
54.36.150.59 - - [18/Oct/2019:10:29:56 +0200] "GET /smartkat-crashkurs HTTP/1.1" 200 5702
216.244.66.248 - - [18/Oct/2019:11:08:50 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [18/Oct/2019:11:08:50 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [18/Oct/2019:11:08:51 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [18/Oct/2019:11:08:51 +0200] "GET /robots.txt HTTP/1.1" 200 120
66.249.81.236 - - [18/Oct/2019:11:32:35 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 301 617
66.249.81.241 - - [18/Oct/2019:11:32:36 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
216.244.66.248 - - [18/Oct/2019:11:44:59 +0200] "GET /index.php?option=com_weblinks&task=view&catid=32&id=16 HTTP/1.1" 302 0
216.244.66.248 - - [18/Oct/2019:11:46:53 +0200] "GET /gallery/displayimage.php?album=lastupby&cat=0&pos=16&uid=1 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:11:46:59 +0200] "GET /gallery/displayimage.php?album=lastupby&cat=0&pos=6&uid=1 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:11:50:46 +0200] "GET /gallery/displayimage.php?album=topn&cat=-4&pid=122&slideshow=5000 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:11:50:51 +0200] "GET /gallery/displayimage.php?album=topn&cat=-4&pid=153&slideshow=5000 HTTP/1.1" 404 222
216.244.66.248 - - [18/Oct/2019:11:50:55 +0200] "GET /gallery/displayimage.php?album=topn&cat=-4&pid=167&slideshow=5000 HTTP/1.1" 404 222
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/125492-12_Galerie.jpg HTTP/1.1" 200 34896
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /js/bundles/front_bundle.min.js?v=7.2.44561 HTTP/1.1" 200 46210
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET / HTTP/1.1" 200 6832
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
178.82.170.232 - - [18/Oct/2019:11:59:11 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
178.82.170.232 - - [18/Oct/2019:11:59:13 +0200] "GET / HTTP/1.1" 301 617
178.82.170.232 - - [18/Oct/2019:11:59:13 +0200] "GET /templates/resellers/7/favicon.ico?v=1567411060 HTTP/1.1" 200 4286
178.82.170.232 - - [18/Oct/2019:11:59:13 +0200] "GET / HTTP/1.1" 200 6832
178.82.170.232 - - [18/Oct/2019:11:59:36 +0200] "GET /var/m_0/0d/0dd/12455/119662-DSC_7544.JPG HTTP/1.1" 200 65485
178.82.170.232 - - [18/Oct/2019:11:59:36 +0200] "GET /var/m_0/0d/0dd/12455/126125-42_Standort.JPG HTTP/1.1" 200 63490
178.82.170.232 - - [18/Oct/2019:11:59:36 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 4995
178.82.170.232 - - [18/Oct/2019:11:59:36 +0200] "GET /var/m_0/0d/0dd/12455/126124-41_Wetter.JPG HTTP/1.1" 200 26919
178.82.170.232 - - [18/Oct/2019:11:59:36 +0200] "GET /templates/resellers/7/favicon.ico?v=1567427757 HTTP/1.1" 200 4286
178.82.170.232 - - [18/Oct/2019:11:59:36 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
178.82.170.232 - - [18/Oct/2019:11:59:36 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
178.82.170.232 - - [18/Oct/2019:11:59:42 +0200] "GET /var/m_0/0d/0dd/12455/9777137-Stege2019-c51ce.w1024.jpg HTTP/1.1" 200 117474
178.82.170.232 - - [18/Oct/2019:11:59:42 +0200] "GET /standort.shtml HTTP/1.1" 200 5777
178.82.170.232 - - [18/Oct/2019:11:59:42 +0200] "GET /var/m_0/0d/0dd/12455/9777128-Strandbad19-c9f0f.w1024.jpg HTTP/1.1" 200 121071
178.82.170.232 - - [18/Oct/2019:11:59:43 +0200] "GET /templates/resellers/7/favicon.ico?v=1567429006 HTTP/1.1" 200 4286
