157.55.39.104 - - [30/Jul/2019:15:27:42 +0200] "GET /var/m_0/0d/0dd/12455/7230944-18_SKTrophy2015.jpg HTTP/1.1" 200 84351
185.104.11.140 - - [30/Jul/2019:15:29:55 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
185.104.11.140 - - [30/Jul/2019:15:29:56 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 46180
185.104.11.140 - - [30/Jul/2019:15:29:56 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
185.104.11.140 - - [30/Jul/2019:15:29:56 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
185.104.11.140 - - [30/Jul/2019:15:29:56 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
185.104.11.140 - - [30/Jul/2019:15:29:56 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
185.104.11.140 - - [30/Jul/2019:15:29:56 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
185.104.11.140 - - [30/Jul/2019:15:29:56 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
185.104.11.140 - - [30/Jul/2019:15:30:14 +0200] "GET / HTTP/1.1" 200 6998
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
185.104.11.140 - - [30/Jul/2019:15:30:15 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
185.104.11.140 - - [30/Jul/2019:15:30:17 +0200] "GET /templates/resellers/7/favicon.ico?v=1562933102 HTTP/1.1" 200 4286
85.7.151.30 - - [30/Jul/2019:15:31:03 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
85.7.151.30 - - [30/Jul/2019:15:31:03 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
85.7.151.30 - - [30/Jul/2019:15:31:03 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
85.7.151.30 - - [30/Jul/2019:15:31:04 +0200] "GET /templates/resellers/7/favicon.ico?v=1562937798 HTTP/1.1" 200 4286
85.7.151.30 - - [30/Jul/2019:15:31:05 +0200] "GET /kurse.shtml HTTP/1.1" 200 6694
85.7.151.30 - - [30/Jul/2019:15:31:05 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
85.7.151.30 - - [30/Jul/2019:15:31:05 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
85.7.151.30 - - [30/Jul/2019:15:31:09 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
85.7.151.30 - - [30/Jul/2019:15:31:09 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
85.7.151.30 - - [30/Jul/2019:15:31:09 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
85.7.151.30 - - [30/Jul/2019:15:31:09 +0200] "GET /templates/resellers/7/favicon.ico?v=1562937748 HTTP/1.1" 200 4286
85.7.151.30 - - [30/Jul/2019:15:31:10 +0200] "GET /flotte.shtml HTTP/1.1" 200 6628
85.7.151.30 - - [30/Jul/2019:15:31:10 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
85.7.151.30 - - [30/Jul/2019:15:31:10 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
85.7.151.30 - - [30/Jul/2019:15:31:18 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5431
85.7.151.30 - - [30/Jul/2019:15:31:18 +0200] "GET /templates/resellers/7/favicon.ico?v=1562937861 HTTP/1.1" 200 4286
85.7.151.30 - - [30/Jul/2019:15:31:24 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
85.7.151.30 - - [30/Jul/2019:15:31:24 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
85.7.151.30 - - [30/Jul/2019:15:31:24 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
85.7.151.30 - - [30/Jul/2019:15:31:30 +0200] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
85.7.151.30 - - [30/Jul/2019:15:31:37 +0200] "GET /var/m_0/0d/0dd/12455/126124-41_Wetter.JPG HTTP/1.1" 200 26919
85.7.151.30 - - [30/Jul/2019:15:31:37 +0200] "GET /templates/resellers/7/favicon.ico?v=1562937713 HTTP/1.1" 200 4286
85.7.151.30 - - [30/Jul/2019:15:31:39 +0200] "GET /var/m_0/0d/0dd/12455/119662-DSC_7544.JPG HTTP/1.1" 200 65485
185.104.11.140 - - [30/Jul/2019:15:31:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
185.104.11.140 - - [30/Jul/2019:15:31:53 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
185.104.11.140 - - [30/Jul/2019:15:31:53 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
185.104.11.140 - - [30/Jul/2019:15:31:53 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 46180
185.104.11.140 - - [30/Jul/2019:15:31:53 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
185.104.11.140 - - [30/Jul/2019:15:31:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
185.104.11.140 - - [30/Jul/2019:15:31:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
185.104.11.140 - - [30/Jul/2019:15:31:54 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
185.104.11.140 - - [30/Jul/2019:15:31:54 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
185.104.11.140 - - [30/Jul/2019:15:31:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
185.104.11.140 - - [30/Jul/2019:15:31:55 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
185.104.11.140 - - [30/Jul/2019:15:31:55 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
185.104.11.140 - - [30/Jul/2019:15:31:55 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
185.104.11.140 - - [30/Jul/2019:15:31:55 +0200] "GET /templates/resellers/7/favicon.ico?v=1562933102 HTTP/1.1" 200 4286
185.104.11.140 - - [30/Jul/2019:15:31:56 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
185.104.11.140 - - [30/Jul/2019:15:31:56 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
185.104.11.140 - - [30/Jul/2019:15:31:56 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
185.104.11.140 - - [30/Jul/2019:15:31:56 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
185.104.11.140 - - [30/Jul/2019:15:31:56 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
85.7.151.30 - - [30/Jul/2019:15:31:58 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 5094
85.7.151.30 - - [30/Jul/2019:15:31:58 +0200] "GET /var/m_0/0d/0dd/12455/126125-42_Standort.JPG HTTP/1.1" 200 63490
185.104.11.140 - - [30/Jul/2019:15:32:14 +0200] "GET / HTTP/1.1" 200 6998
185.104.11.140 - - [30/Jul/2019:15:32:14 +0200] "GET /css/widgets/concat_widget.min.css?v=7.1.44342 HTTP/1.1" 200 22418
185.104.11.140 - - [30/Jul/2019:15:32:14 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
185.104.11.140 - - [30/Jul/2019:15:32:14 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
185.104.11.140 - - [30/Jul/2019:15:32:14 +0200] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
185.104.11.140 - - [30/Jul/2019:15:32:15 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
185.104.11.140 - - [30/Jul/2019:15:32:15 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
185.104.11.140 - - [30/Jul/2019:15:32:15 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
185.104.11.140 - - [30/Jul/2019:15:32:15 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
185.104.11.140 - - [30/Jul/2019:15:32:15 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
157.55.39.104 - - [30/Jul/2019:15:41:39 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 301 617
46.229.168.162 - - [30/Jul/2019:15:57:29 +0200] "GET /kurse HTTP/1.1" 200 7801
46.229.168.145 - - [30/Jul/2019:15:57:48 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.250 - - [30/Jul/2019:16:09:38 +0200] "GET /var/m_0/0d/0dd/12455/6564711-G3_SKT2015_39.jpg HTTP/1.1" 301 617
37.235.114.22 - - [30/Jul/2019:16:10:22 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
216.244.66.248 - - [30/Jul/2019:16:14:05 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [30/Jul/2019:16:14:08 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.224 - - [30/Jul/2019:16:16:00 +0200] "GET /smartkat-trophy-2018-copy HTTP/1.1" 200 6178
40.77.167.14 - - [30/Jul/2019:16:28:28 +0200] "GET / HTTP/1.1" 301 617
40.77.167.14 - - [30/Jul/2019:16:28:49 +0200] "GET /index.php?option=com_content&task=view&id=32&Itemid=82 HTTP/1.1" 301 617
66.249.64.115 - - [30/Jul/2019:16:49:31 +0200] "GET /segel-grundkurs HTTP/1.1" 200 5570
46.229.168.153 - - [30/Jul/2019:16:50:03 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 6013
46.229.168.148 - - [30/Jul/2019:16:50:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.134 - - [30/Jul/2019:16:50:20 +0200] "GET /robots.txt HTTP/1.1" 301 617
46.229.168.162 - - [30/Jul/2019:16:50:22 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 301 617
216.244.66.248 - - [30/Jul/2019:16:59:36 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [30/Jul/2019:16:59:58 +0200] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.90 - - [30/Jul/2019:17:03:29 +0200] "GET /index.php?option=com_frontpage&Itemid=1 HTTP/1.1" 301 617
40.77.167.90 - - [30/Jul/2019:17:09:50 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 6361
157.55.39.104 - - [30/Jul/2019:17:15:04 +0200] "GET /index.php?option=com_frontpage&Itemid=101 HTTP/1.1" 301 617
207.46.13.224 - - [30/Jul/2019:17:15:27 +0200] "GET /index.php HTTP/1.1" 301 617
78.87.126.134 - - [30/Jul/2019:17:16:26 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5429
78.87.126.134 - - [30/Jul/2019:17:16:27 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 46180
78.87.126.134 - - [30/Jul/2019:17:16:28 +0200] "GET /css/widgets/concat_widget.min.css?v=7.1.44342 HTTP/1.1" 200 22418
78.87.126.134 - - [30/Jul/2019:17:16:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
78.87.126.134 - - [30/Jul/2019:17:16:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
78.87.126.134 - - [30/Jul/2019:17:16:48 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
78.87.126.134 - - [30/Jul/2019:17:16:48 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
157.55.39.104 - - [30/Jul/2019:17:30:40 +0200] "GET /index.php?option=com_content&task=view&id=34&Itemid=87 HTTP/1.1" 301 617
95.108.181.76 - - [30/Jul/2019:17:32:15 +0200] "GET / HTTP/1.1" 301 617
95.108.181.76 - - [30/Jul/2019:17:32:17 +0200] "GET / HTTP/1.1" 200 8214
141.8.188.62 - - [30/Jul/2019:17:32:30 +0200] "GET /robots.txt HTTP/1.1" 301 617
95.108.181.76 - - [30/Jul/2019:17:32:30 +0200] "GET /robots.txt HTTP/1.1" 200 120
141.8.188.62 - - [30/Jul/2019:17:32:34 +0200] "GET /robots.txt HTTP/1.1" 200 120
62.2.169.202 - - [30/Jul/2019:17:41:52 +0200] "GET / HTTP/1.1" 200 6998
62.2.169.202 - - [30/Jul/2019:17:42:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 304 0
216.244.66.248 - - [30/Jul/2019:17:45:42 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [30/Jul/2019:17:46:05 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.150.28 - - [30/Jul/2019:17:48:10 +0200] "GET / HTTP/1.1" 301 617
178.192.96.245 - - [30/Jul/2019:17:55:19 +0200] "GET /kurse HTTP/1.1" 200 6710
178.192.96.245 - - [30/Jul/2019:17:55:19 +0200] "GET /css/widgets/concat_widget.min.css?v=7.1.44342 HTTP/1.1" 200 22418
178.192.96.245 - - [30/Jul/2019:17:55:19 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
178.192.96.245 - - [30/Jul/2019:17:55:19 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
178.192.96.245 - - [30/Jul/2019:17:55:19 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
178.192.96.245 - - [30/Jul/2019:17:55:19 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 46180
178.192.96.245 - - [30/Jul/2019:17:55:20 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
178.192.96.245 - - [30/Jul/2019:17:55:20 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
178.192.96.245 - - [30/Jul/2019:17:55:21 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
178.192.96.245 - - [30/Jul/2019:17:55:21 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
178.192.96.245 - - [30/Jul/2019:17:55:21 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
