106.38.241.102 - - [19/Jun/2019:21:00:47 +0200] "GET /gfx/imageslider/fonts/icons.svg?3r0kqq HTTP/1.1" 200 1178
164.14.128.8 - - [19/Jun/2019:21:35:38 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 46180
164.14.128.8 - - [19/Jun/2019:21:35:38 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
164.14.128.8 - - [19/Jun/2019:21:35:38 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
164.14.128.8 - - [19/Jun/2019:21:35:38 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
164.14.128.8 - - [19/Jun/2019:21:35:39 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
164.14.128.8 - - [19/Jun/2019:21:35:55 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5396
164.14.128.8 - - [19/Jun/2019:21:35:55 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
164.14.128.8 - - [19/Jun/2019:21:35:55 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
164.14.128.8 - - [19/Jun/2019:21:35:56 +0200] "GET /templates/resellers/7/favicon.ico?v=1560754936 HTTP/1.1" 200 4286
164.14.128.8 - - [19/Jun/2019:21:36:00 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
164.14.128.8 - - [19/Jun/2019:21:36:00 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
164.14.128.8 - - [19/Jun/2019:21:36:01 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
164.14.128.8 - - [19/Jun/2019:21:36:02 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
78.30.3.109 - - [19/Jun/2019:21:37:58 +0200] "GET / HTTP/1.1" 301 617
77.75.79.62 - - [19/Jun/2019:21:41:04 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.79.62 - - [19/Jun/2019:21:41:05 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 5970
178.137.18.250 - - [19/Jun/2019:21:44:32 +0200] "GET / HTTP/1.1" 301 617
178.137.18.250 - - [19/Jun/2019:21:44:33 +0200] "GET / HTTP/1.1" 301 617
178.137.18.250 - - [19/Jun/2019:21:44:34 +0200] "GET / HTTP/1.1" 301 617
216.244.66.248 - - [19/Jun/2019:21:48:38 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [19/Jun/2019:21:48:40 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.4.69.17 - - [19/Jun/2019:21:51:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.4.69.17 - - [19/Jun/2019:21:51:07 +0200] "GET /%C3%83%C2%BCber-uns.shtml HTTP/1.1" 404 5521
46.4.69.17 - - [19/Jun/2019:21:51:08 +0200] "GET /robots.txt HTTP/1.1" 301 617
46.4.69.17 - - [19/Jun/2019:21:51:08 +0200] "GET /%C3%BCber-uns HTTP/1.1" 200 5970
46.4.69.17 - - [19/Jun/2019:21:51:10 +0200] "GET /events HTTP/1.1" 200 6536
46.4.69.17 - - [19/Jun/2019:21:51:11 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 301 617
46.4.69.17 - - [19/Jun/2019:21:51:14 +0200] "GET /galerie HTTP/1.1" 200 6375
46.4.69.17 - - [19/Jun/2019:21:51:16 +0200] "GET /flotte HTTP/1.1" 200 7642
46.4.69.17 - - [19/Jun/2019:21:51:20 +0200] "GET /galerie-gruppesmartkat HTTP/1.1" 200 5892
46.4.69.17 - - [19/Jun/2019:21:51:22 +0200] "GET /galerie-matchracing HTTP/1.1" 200 5860
46.4.69.17 - - [19/Jun/2019:21:51:23 +0200] "GET /pruefungskurs HTTP/1.1" 200 6948
46.4.69.17 - - [19/Jun/2019:21:51:26 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 6311
46.4.69.17 - - [19/Jun/2019:21:51:28 +0200] "GET /kursanmeldung HTTP/1.1" 200 12678
46.4.69.17 - - [19/Jun/2019:21:51:31 +0200] "GET /swiss-sailing-leaque-copy HTTP/1.1" 200 5938
46.4.69.17 - - [19/Jun/2019:21:51:31 +0200] "GET /smartkat-trophy-2018-copy HTTP/1.1" 200 6138
92.220.0.232 - - [19/Jun/2019:21:58:56 +0200] "GET /robots.txt HTTP/1.1" 200 120
92.220.0.232 - - [19/Jun/2019:21:59:02 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 23867
207.46.13.127 - - [19/Jun/2019:22:04:40 +0200] "GET /galerie-gruppesmartkat HTTP/1.1" 200 5892
185.46.137.5 - - [19/Jun/2019:22:05:31 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
185.46.137.5 - - [19/Jun/2019:22:05:31 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
185.46.137.5 - - [19/Jun/2019:22:05:31 +0200] "GET /var/m_0/0d/0dd/12455/9564461-Corsaire_Titel.JPG HTTP/1.1" 200 226174
185.46.137.5 - - [19/Jun/2019:22:05:31 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 46180
185.46.137.5 - - [19/Jun/2019:22:05:32 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
185.46.137.5 - - [19/Jun/2019:22:05:32 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
185.46.137.5 - - [19/Jun/2019:22:05:36 +0200] "GET /css/widgets/concat_widget.min.css?v=7.1.44342 HTTP/1.1" 200 22418
185.46.137.5 - - [19/Jun/2019:22:05:36 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
185.46.137.5 - - [19/Jun/2019:22:05:36 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
185.46.137.5 - - [19/Jun/2019:22:05:36 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
185.46.137.5 - - [19/Jun/2019:22:05:36 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
185.46.137.5 - - [19/Jun/2019:22:05:36 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
185.46.137.5 - - [19/Jun/2019:22:05:37 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
185.46.137.5 - - [19/Jun/2019:22:05:37 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
185.46.137.5 - - [19/Jun/2019:22:05:37 +0200] "GET / HTTP/1.1" 301 617
185.46.137.5 - - [19/Jun/2019:22:05:37 +0200] "GET / HTTP/1.1" 200 6982
185.46.137.5 - - [19/Jun/2019:22:05:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
185.46.137.5 - - [19/Jun/2019:22:05:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
185.46.137.5 - - [19/Jun/2019:22:05:38 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
185.46.137.5 - - [19/Jun/2019:22:05:38 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
185.46.137.5 - - [19/Jun/2019:22:05:39 +0200] "GET /templates/resellers/7/favicon.ico?v=1560704037 HTTP/1.1" 200 4286
185.46.137.5 - - [19/Jun/2019:22:05:39 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
185.46.137.5 - - [19/Jun/2019:22:05:39 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
185.46.137.5 - - [19/Jun/2019:22:05:39 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
185.46.137.5 - - [19/Jun/2019:22:06:00 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5396
185.46.137.5 - - [19/Jun/2019:22:06:00 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
185.46.137.5 - - [19/Jun/2019:22:06:00 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
185.46.137.5 - - [19/Jun/2019:22:06:01 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
185.46.137.5 - - [19/Jun/2019:22:06:03 +0200] "GET /templates/resellers/7/favicon.ico?v=1560754936 HTTP/1.1" 200 4286
185.46.137.5 - - [19/Jun/2019:22:06:05 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
185.46.137.5 - - [19/Jun/2019:22:06:07 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
185.46.137.5 - - [19/Jun/2019:22:06:07 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
157.55.39.8 - - [19/Jun/2019:22:11:43 +0200] "GET /index.php?option=com_frontpage&Itemid=101 HTTP/1.1" 301 617
46.166.137.196 - - [19/Jun/2019:22:14:50 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.166.190.158 - - [19/Jun/2019:22:15:12 +0200] "HEAD / HTTP/1.1" 301 0
46.166.190.158 - - [19/Jun/2019:22:15:27 +0200] "HEAD / HTTP/1.1" 403 0
207.46.13.127 - - [19/Jun/2019:22:18:19 +0200] "GET /var/m_0/0d/0dd/12455/9564560-SSL2018_07.w1024.jpg HTTP/1.1" 200 126040
216.244.66.248 - - [19/Jun/2019:22:33:37 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [19/Jun/2019:22:33:41 +0200] "GET /robots.txt HTTP/1.1" 301 617
207.46.13.197 - - [19/Jun/2019:22:35:58 +0200] "GET /smartkat-crashkurs HTTP/1.1" 301 617
66.249.64.52 - - [19/Jun/2019:22:42:06 +0200] "GET /.well-known/assetlinks.json HTTP/1.1" 404 4642
157.55.39.8 - - [19/Jun/2019:22:43:01 +0200] "GET /galerie-matchracing.shtml HTTP/1.1" 200 5855
54.36.148.28 - - [19/Jun/2019:22:43:30 +0200] "GET /robots.txt HTTP/1.1" 200 120
195.154.122.59 - - [19/Jun/2019:22:43:31 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 2066
195.154.122.59 - - [19/Jun/2019:22:43:31 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1189
195.154.122.59 - - [19/Jun/2019:22:43:36 +0200] "GET /css/skeleton.css HTTP/1.1" 200 4100
195.154.122.59 - - [19/Jun/2019:22:43:36 +0200] "GET /css/widgets/concat_widget.min.css?v=7.1.44342 HTTP/1.1" 200 31197
195.154.122.59 - - [19/Jun/2019:22:43:36 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 710
195.154.122.59 - - [19/Jun/2019:22:43:36 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 56629
54.36.150.84 - - [19/Jun/2019:22:43:37 +0200] "GET / HTTP/1.1" 200 8227
195.154.122.59 - - [19/Jun/2019:22:43:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 908
195.154.122.59 - - [19/Jun/2019:22:43:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2144
157.55.39.8 - - [19/Jun/2019:22:49:55 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
207.46.13.197 - - [19/Jun/2019:23:09:13 +0200] "GET /var/m_0/0d/0dd/12455/9564578-SSL2018_13.w1024.jpg HTTP/1.1" 200 142244
66.249.64.43 - - [19/Jun/2019:23:11:30 +0200] "GET /robots.txt HTTP/1.1" 301 617
66.249.64.52 - - [19/Jun/2019:23:11:37 +0200] "GET /robots.txt HTTP/1.1" 200 120
66.249.64.47 - - [19/Jun/2019:23:11:37 +0200] "GET / HTTP/1.1" 301 617
66.249.64.50 - - [19/Jun/2019:23:11:38 +0200] "GET / HTTP/1.1" 200 6971
207.46.13.197 - - [19/Jun/2019:23:14:53 +0200] "GET / HTTP/1.1" 200 8227
216.244.66.248 - - [19/Jun/2019:23:18:05 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [19/Jun/2019:23:18:14 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.76.170 - - [19/Jun/2019:23:24:21 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.76.170 - - [19/Jun/2019:23:24:21 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
157.55.39.8 - - [19/Jun/2019:23:36:08 +0200] "GET /pruefungskurs HTTP/1.1" 301 617
66.249.64.115 - - [19/Jun/2019:23:42:38 +0200] "GET / HTTP/1.1" 200 6971
157.55.39.8 - - [19/Jun/2019:23:51:50 +0200] "GET /index.php?option=com_content&task=view&id=32&Itemid=82 HTTP/1.1" 301 617
40.77.167.42 - - [19/Jun/2019:23:57:15 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
