66.249.64.28 - - [23/May/2018:09:01:32 +0200] "GET /templates/resellers/7/favicon.ico?v=1506149037 HTTP/1.1" 200 4286
46.140.45.238 - - [23/May/2018:09:02:55 +0200] "GET /templates/resellers/7/favicon.ico?v=1525028127 HTTP/1.1" 200 4286
46.140.45.238 - - [23/May/2018:09:03:01 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
46.140.45.238 - - [23/May/2018:09:03:01 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 4591
46.140.45.238 - - [23/May/2018:09:03:02 +0200] "GET /templates/resellers/7/favicon.ico?v=1525028158 HTTP/1.1" 200 4286
46.140.45.238 - - [23/May/2018:09:06:58 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 200 157
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.42201 HTTP/1.1" 200 23051
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 3186
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 278
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.42201 HTTP/1.1" 200 1283
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET / HTTP/1.1" 200 6324
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/125491-11_Winterschlaf.jpg HTTP/1.1" 200 61429
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
46.140.45.238 - - [23/May/2018:09:07:02 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
46.140.45.238 - - [23/May/2018:09:07:55 +0200] "GET / HTTP/1.1" 200 6324
46.140.45.238 - - [23/May/2018:09:07:56 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
193.174.248.1 - - [23/May/2018:09:25:08 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
193.174.248.1 - - [23/May/2018:09:25:08 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5114
193.174.248.1 - - [23/May/2018:09:25:08 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.42201 HTTP/1.1" 200 23051
193.174.248.1 - - [23/May/2018:09:25:08 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 3186
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 278
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 200 157
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.42201 HTTP/1.1" 200 1283
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /templates/resellers/7/favicon.ico?v=1525028123 HTTP/1.1" 200 4286
193.174.248.1 - - [23/May/2018:09:25:09 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
45.35.196.147 - - [23/May/2018:09:26:43 +0200] "GET / HTTP/1.1" 200 34604
45.35.196.147 - - [23/May/2018:09:26:46 +0200] "GET /events.shtml HTTP/1.1" 200 22455
45.35.196.147 - - [23/May/2018:09:26:47 +0200] "GET /galerie.shtml HTTP/1.1" 200 25026
45.35.196.147 - - [23/May/2018:09:26:49 +0200] "GET /kurse.shtml HTTP/1.1" 200 31059
45.35.196.147 - - [23/May/2018:09:26:51 +0200] "GET /vermietung.shtml HTTP/1.1" 200 25631
45.35.196.147 - - [23/May/2018:09:26:52 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18426
45.35.196.147 - - [23/May/2018:09:26:53 +0200] "GET /davosersee.shtml HTTP/1.1" 200 19587
45.35.196.147 - - [23/May/2018:09:26:55 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21414
45.35.196.147 - - [23/May/2018:09:26:56 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 21265
45.35.196.147 - - [23/May/2018:09:26:57 +0200] "GET /event-pedalo.shtml HTTP/1.1" 200 20262
45.35.196.147 - - [23/May/2018:09:26:58 +0200] "GET /flotte.shtml HTTP/1.1" 200 29296
45.35.196.147 - - [23/May/2018:09:26:59 +0200] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20588
45.35.196.147 - - [23/May/2018:09:27:00 +0200] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21718
45.35.196.147 - - [23/May/2018:09:27:01 +0200] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29927
45.35.196.147 - - [23/May/2018:09:27:02 +0200] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49434
45.35.196.147 - - [23/May/2018:09:27:03 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19825
45.35.196.147 - - [23/May/2018:09:27:03 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 46985
45.35.196.147 - - [23/May/2018:09:27:05 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 26367
45.35.196.147 - - [23/May/2018:09:27:06 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 23233
45.35.196.147 - - [23/May/2018:09:27:07 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21574
45.35.196.147 - - [23/May/2018:09:27:08 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19332
45.35.196.147 - - [23/May/2018:09:27:09 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17819
45.35.196.147 - - [23/May/2018:09:27:11 +0200] "GET /standort.shtml HTTP/1.1" 200 17725
45.35.196.147 - - [23/May/2018:09:27:12 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21896
45.35.196.147 - - [23/May/2018:09:27:14 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 7672
45.35.196.147 - - [23/May/2018:09:27:15 +0200] "GET /Perspectiva.html? HTTP/1.1" 200 18099
45.35.196.147 - - [23/May/2018:09:27:17 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.42201 HTTP/1.1" 200 3342
45.35.196.147 - - [23/May/2018:09:27:19 +0200] "GET /events HTTP/1.1" 200 22599
45.35.196.147 - - [23/May/2018:09:27:20 +0200] "GET /galerie HTTP/1.1" 200 25026
45.35.196.147 - - [23/May/2018:09:27:22 +0200] "GET /vermietung HTTP/1.1" 200 25631
45.35.196.147 - - [23/May/2018:09:27:23 +0200] "GET /aktuelles-wetter HTTP/1.1" 200 18426
45.35.196.147 - - [23/May/2018:09:27:24 +0200] "GET /event-matchracing HTTP/1.1" 200 21265
45.35.196.147 - - [23/May/2018:09:27:25 +0200] "GET /galerie-gruppesmartkat HTTP/1.1" 200 20588
45.35.196.147 - - [23/May/2018:09:27:25 +0200] "GET /event-pedalo HTTP/1.1" 200 20262
45.35.196.147 - - [23/May/2018:09:27:28 +0200] "GET /galerie-matchracing HTTP/1.1" 200 21718
45.35.196.147 - - [23/May/2018:09:27:30 +0200] "GET /galerie-sktrophy-2014 HTTP/1.1" 200 29927
45.35.196.147 - - [23/May/2018:09:27:34 +0200] "GET /galerie-sktrophy-2015 HTTP/1.1" 200 49434
45.35.196.147 - - [23/May/2018:09:27:35 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 19825
45.35.196.147 - - [23/May/2018:09:27:37 +0200] "GET /kursanmeldung HTTP/1.1" 200 46985
45.35.196.147 - - [23/May/2018:09:27:39 +0200] "GET /optikurse-2014 HTTP/1.1" 200 26367
45.35.196.147 - - [23/May/2018:09:27:41 +0200] "GET /pruefungskurs HTTP/1.1" 200 23377
45.35.196.147 - - [23/May/2018:09:27:42 +0200] "GET /segel-grundkurs HTTP/1.1" 200 21718
45.35.196.147 - - [23/May/2018:09:27:44 +0200] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 19332
45.35.196.147 - - [23/May/2018:09:27:47 +0200] "GET /smartkat-crashkurs HTTP/1.1" 200 17819
