40.77.167.181 - - [05/Aug/2018:11:02:36 +0200] "GET /segel-grundkurs HTTP/1.1" 200 31201
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_m_bottom.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:41 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
83.78.20.110 - - [05/Aug/2018:11:26:41 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
83.78.20.110 - - [05/Aug/2018:11:26:41 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
83.78.20.110 - - [05/Aug/2018:11:26:41 +0200] "GET /vermietung HTTP/1.1" 200 30869
83.78.20.110 - - [05/Aug/2018:11:26:41 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
83.78.20.110 - - [05/Aug/2018:11:26:42 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
83.78.20.110 - - [05/Aug/2018:11:26:42 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43352 HTTP/1.1" 200 48314
83.78.20.110 - - [05/Aug/2018:11:26:42 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:27:26 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/mail_icon.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:27:26 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/google_maps_icon.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:27:26 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_close.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:27:26 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/call-icon.png HTTP/1.1" 304 -
62.202.183.151 - - [05/Aug/2018:11:29:33 +0200] "GET / HTTP/1.1" 301 306
62.202.183.151 - - [05/Aug/2018:11:29:33 +0200] "GET / HTTP/1.1" 200 32771
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43334 HTTP/1.1" 200 48314
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/7445964-SK_Kentern.jpg HTTP/1.1" 200 26997
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/8218253-65_Sommer.JPG HTTP/1.1" 200 244897
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
62.202.183.151 - - [05/Aug/2018:11:29:34 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
62.202.183.151 - - [05/Aug/2018:11:29:36 +0200] "GET /templates/resellers/7/favicon.ico?v=1532962432 HTTP/1.1" 200 4286
62.202.183.151 - - [05/Aug/2018:11:34:26 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 36566
62.202.183.151 - - [05/Aug/2018:11:34:26 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 301 325
62.202.183.151 - - [05/Aug/2018:11:34:26 +0200] "GET /gfx/contactUs/reload-Icon.jpg HTTP/1.1" 200 1618
62.202.183.151 - - [05/Aug/2018:11:34:26 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
62.202.183.151 - - [05/Aug/2018:11:34:27 +0200] "GET /templates/resellers/7/favicon.ico?v=1532973977 HTTP/1.1" 200 4286
62.202.183.151 - - [05/Aug/2018:11:34:28 +0200] "POST /wforms/captcha/index HTTP/1.1" 200 9478
62.202.183.151 - - [05/Aug/2018:11:35:07 +0200] "GET / HTTP/1.1" 200 32771
195.65.192.58 - - [05/Aug/2018:11:36:20 +0200] "GET /?__renew=1 HTTP/1.1" 301 316
195.65.192.58 - - [05/Aug/2018:11:36:20 +0200] "GET /?__renew=1 HTTP/1.1" 200 32581
62.202.183.151 - - [05/Aug/2018:11:36:41 +0200] "GET / HTTP/1.1" 200 32580
62.202.183.151 - - [05/Aug/2018:11:36:45 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43352 HTTP/1.1" 200 48361
62.202.183.151 - - [05/Aug/2018:11:36:47 +0200] "GET /templates/resellers/7/favicon.ico?v=1533461804 HTTP/1.1" 200 4286
195.65.192.58 - - [05/Aug/2018:11:36:58 +0200] "GET /?__renew=1 HTTP/1.1" 301 316
195.65.192.58 - - [05/Aug/2018:11:36:58 +0200] "GET /?__renew=1 HTTP/1.1" 200 32578
62.202.183.151 - - [05/Aug/2018:11:37:00 +0200] "GET / HTTP/1.1" 200 32578
62.202.183.151 - - [05/Aug/2018:11:37:03 +0200] "GET /templates/resellers/7/favicon.ico?v=1533461821 HTTP/1.1" 200 4286
66.249.66.141 - - [05/Aug/2018:11:37:08 +0200] "GET /robots.txt HTTP/1.1" 301 316
66.249.66.157 - - [05/Aug/2018:11:37:09 +0200] "GET /robots.txt HTTP/1.1" 200 80
66.249.66.137 - - [05/Aug/2018:11:37:12 +0200] "GET /sitemap.xml HTTP/1.1" 301 317
66.249.66.154 - - [05/Aug/2018:11:37:13 +0200] "GET /sitemap.xml HTTP/1.1" 200 -
216.244.66.248 - - [05/Aug/2018:11:44:20 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [05/Aug/2018:11:44:22 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.118.125.157 - - [05/Aug/2018:11:50:50 +0200] "GET /flotte/ HTTP/1.1" 301 313
46.118.125.157 - - [05/Aug/2018:11:50:52 +0200] "GET /flotte/ HTTP/1.1" 301 313
52.215.83.20 - - [05/Aug/2018:11:54:54 +0200] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 30961
178.196.251.226 - - [05/Aug/2018:11:58:26 +0200] "GET / HTTP/1.1" 200 32575
178.196.251.226 - - [05/Aug/2018:11:58:26 +0200] "GET / HTTP/1.1" 301 314
178.196.251.226 - - [05/Aug/2018:11:58:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
178.196.251.226 - - [05/Aug/2018:11:58:27 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
178.196.251.226 - - [05/Aug/2018:11:58:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
178.196.251.226 - - [05/Aug/2018:11:58:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
178.196.251.226 - - [05/Aug/2018:11:58:27 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43352 HTTP/1.1" 200 48361
178.196.251.226 - - [05/Aug/2018:11:58:30 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
178.196.251.226 - - [05/Aug/2018:11:58:31 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
178.196.251.226 - - [05/Aug/2018:11:58:30 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
178.196.251.226 - - [05/Aug/2018:11:58:30 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
178.196.251.226 - - [05/Aug/2018:11:58:30 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
178.196.251.226 - - [05/Aug/2018:11:58:30 +0200] "GET /var/m_0/0d/0dd/12455/7445964-SK_Kentern.jpg HTTP/1.1" 200 26997
178.196.251.226 - - [05/Aug/2018:11:58:31 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
178.196.251.226 - - [05/Aug/2018:11:58:31 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
178.196.251.226 - - [05/Aug/2018:11:58:31 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
178.196.251.226 - - [05/Aug/2018:11:58:32 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
178.196.251.226 - - [05/Aug/2018:11:58:32 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
178.196.251.226 - - [05/Aug/2018:11:58:33 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
178.196.251.226 - - [05/Aug/2018:11:58:33 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
178.196.251.226 - - [05/Aug/2018:11:58:33 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
178.196.251.226 - - [05/Aug/2018:11:58:37 +0200] "GET /templates/resellers/7/favicon.ico?v=1533461821 HTTP/1.1" 200 4286
178.196.251.226 - - [05/Aug/2018:11:58:43 +0200] "GET /templates/resellers/7/favicon.ico?v=1533461821 HTTP/1.1" 200 4286
