180.76.15.138 - - [18/Jun/2018:12:09:40 +0200] "GET /js/functions_stripped.js HTTP/1.1" 301 330
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /templates/resellers/7/favicon.ico?v=1529179179 HTTP/1.1" 200 4286
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
5.146.87.209 - - [18/Jun/2018:12:32:28 +0200] "GET / HTTP/1.1" 200 6741
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
5.146.87.209 - - [18/Jun/2018:12:32:29 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /kurse.shtml HTTP/1.1" 200 6276
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /templates/resellers/7/favicon.ico?v=1529228995 HTTP/1.1" 200 4286
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
5.146.87.209 - - [18/Jun/2018:12:32:57 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
5.146.87.209 - - [18/Jun/2018:12:33:02 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5154
5.146.87.209 - - [18/Jun/2018:12:33:03 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229034 HTTP/1.1" 200 4286
54.36.150.5 - - [18/Jun/2018:12:33:47 +0200] "GET /robots.txt HTTP/1.1" 301 324
54.36.150.5 - - [18/Jun/2018:12:33:48 +0200] "GET /robots.txt HTTP/1.1" 200 80
54.36.149.12 - - [18/Jun/2018:12:33:48 +0200] "GET / HTTP/1.1" 301 314
216.244.66.248 - - [18/Jun/2018:12:35:53 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [18/Jun/2018:12:35:55 +0200] "GET /robots.txt HTTP/1.1" 200 120
5.146.87.209 - - [18/Jun/2018:12:36:40 +0200] "GET / HTTP/1.1" 200 6741
5.146.87.209 - - [18/Jun/2018:12:37:19 +0200] "GET /kurse.shtml HTTP/1.1" 200 6276
5.146.87.209 - - [18/Jun/2018:12:37:22 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5154
195.141.126.4 - - [18/Jun/2018:12:41:14 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 4809
195.141.126.4 - - [18/Jun/2018:12:41:25 +0200] "GET /kurse.shtml HTTP/1.1" 200 6276
109.102.111.71 - - [18/Jun/2018:12:42:13 +0200] "GET / HTTP/1.1" 301 314
109.102.111.71 - - [18/Jun/2018:12:42:13 +0200] "GET /https://https://www.davossail.ch/https:/www.davossail.ch HTTP/1.1" 301 368
109.102.111.71 - - [18/Jun/2018:12:42:13 +0200] "GET /https://www.davossail.ch HTTP/1.1" 301 337
109.102.111.71 - - [18/Jun/2018:12:42:13 +0200] "GET /https://https://www.davossail.ch/https:/https://www.davossail.ch/https:/https:/www.davossail.ch/https:/www.davossail.ch HTTP/1.1" 301 430
192.168.105.4, 5.146.87.209 - - [18/Jun/2018:12:42:29 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 343
5.146.87.209 - - [18/Jun/2018:12:42:29 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229038 HTTP/1.1" 200 4286
5.146.87.209 - - [18/Jun/2018:12:42:29 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5090
192.168.105.4, 5.146.87.209 - - [18/Jun/2018:12:42:49 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 301 335
5.146.87.209 - - [18/Jun/2018:12:42:49 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 5386
5.146.87.209 - - [18/Jun/2018:12:44:09 +0200] "GET /davosersee.shtml HTTP/1.1" 200 5486
5.146.87.209 - - [18/Jun/2018:12:44:09 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
192.168.105.4, 5.146.87.209 - - [18/Jun/2018:12:44:09 +0200] "GET /davosersee.shtml HTTP/1.1" 301 330
5.146.87.209 - - [18/Jun/2018:12:44:09 +0200] "GET /templates/resellers/7/favicon.ico?v=1529231010 HTTP/1.1" 200 4286
192.168.105.4, 5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /flotte.shtml HTTP/1.1" 301 326
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /flotte.shtml HTTP/1.1" 200 6277
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /templates/resellers/7/favicon.ico?v=1529206743 HTTP/1.1" 200 4286
5.146.87.209 - - [18/Jun/2018:12:44:18 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 4935
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/efu/main.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1718
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
192.168.105.4, 5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 301 326
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/fancybox2/jquery.fancybox.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 994
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/fancybox2/jquery.fancybox.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 6238
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/galleryLightbox/gallery-paging.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1079
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/efu/w.gallery.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 155
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /templates/resellers/7/favicon.ico?v=1529231054 HTTP/1.1" 200 4286
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /gfx/galleryStatic/pagination.png HTTP/1.1" 200 1557
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /var/m_0/0d/0dd/12455/143507-G2_Optikurs2014_02.JPG HTTP/1.1" 200 83258
5.146.87.209 - - [18/Jun/2018:12:44:57 +0200] "GET /var/m_0/0d/0dd/12455/143512-G2_Optikurs2014_07.jpg HTTP/1.1" 200 120979
5.146.87.209 - - [18/Jun/2018:12:44:55 +0200] "GET /var/m_0/0d/0dd/12455/143509-G2_Optikurs2014_04.JPG HTTP/1.1" 200 86562
5.146.87.209 - - [18/Jun/2018:12:45:00 +0200] "GET /var/m_0/0d/0dd/12455/143514-G2_Optikurs2014_09.jpg HTTP/1.1" 200 152348
5.146.87.209 - - [18/Jun/2018:12:45:01 +0200] "GET /var/m_0/0d/0dd/12455/143515-G2_Optikurs2014_10.jpg HTTP/1.1" 200 143970
5.146.87.209 - - [18/Jun/2018:12:45:02 +0200] "GET /var/m_0/0d/0dd/12455/143516-G2_Optikurs2014_11.jpg HTTP/1.1" 200 127495
5.146.87.209 - - [18/Jun/2018:12:45:04 +0200] "GET /var/m_0/0d/0dd/12455/143517-G2_Optikurs2014_12.JPG HTTP/1.1" 200 89201
5.146.87.209 - - [18/Jun/2018:12:44:58 +0200] "GET /var/m_0/0d/0dd/12455/143513-G2_Optikurs2014_08.jpg HTTP/1.1" 200 167068
5.146.87.209 - - [18/Jun/2018:12:45:07 +0200] "GET /var/m_0/0d/0dd/12455/143519-G2_Optikurs2014_14.JPG HTTP/1.1" 200 71703
5.146.87.209 - - [18/Jun/2018:12:45:05 +0200] "GET /var/m_0/0d/0dd/12455/143518-G2_Optikurs2014_13.JPG HTTP/1.1" 200 66371
5.146.87.209 - - [18/Jun/2018:12:45:09 +0200] "GET /var/m_0/0d/0dd/12455/143521-G2_Optikurs2014_16.JPG HTTP/1.1" 200 81526
5.146.87.209 - - [18/Jun/2018:12:45:10 +0200] "GET /var/m_0/0d/0dd/12455/143522-G2_Optikurs2014_17.JPG HTTP/1.1" 200 71952
5.146.87.209 - - [18/Jun/2018:12:45:11 +0200] "GET /var/m_0/0d/0dd/12455/143524-G2_Optikurs2014_18.JPG HTTP/1.1" 200 73497
5.146.87.209 - - [18/Jun/2018:12:45:13 +0200] "GET /var/m_0/0d/0dd/12455/143525-G2_Optikurs2014_19.JPG HTTP/1.1" 200 68664
5.146.87.209 - - [18/Jun/2018:12:45:08 +0200] "GET /var/m_0/0d/0dd/12455/143520-G2_Optikurs2014_15.JPG HTTP/1.1" 200 71469
5.146.87.209 - - [18/Jun/2018:12:44:55 +0200] "GET /var/m_0/0d/0dd/12455/143510-G2_Optikurs2014_05.jpg HTTP/1.1" 200 105692
5.146.87.209 - - [18/Jun/2018:12:44:56 +0200] "GET /var/m_0/0d/0dd/12455/143511-G2_Optikurs2014_06.JPG HTTP/1.1" 200 108393
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /var/m_0/0d/0dd/12455/143508-G2_Optikurs2014_03.JPG HTTP/1.1" 200 116444
5.146.87.209 - - [18/Jun/2018:12:44:54 +0200] "GET /var/m_0/0d/0dd/12455/143506-G2_Optikurs2014_01.JPG HTTP/1.1" 200 142608
37.115.186.4 - - [18/Jun/2018:12:57:38 +0200] "GET / HTTP/1.1" 301 306
37.115.186.4 - - [18/Jun/2018:12:57:40 +0200] "GET / HTTP/1.1" 301 306
37.115.186.4 - - [18/Jun/2018:12:57:41 +0200] "GET / HTTP/1.1" 301 306
216.244.66.248 - - [18/Jun/2018:12:58:40 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [18/Jun/2018:12:58:42 +0200] "GET /robots.txt HTTP/1.1" 200 120
