157.55.39.172 - - [30/Mar/2020:12:33:07 +0200] "GET /galerie-matchracing HTTP/1.1" 200 5606
82.80.249.249 - - [30/Mar/2020:14:05:55 +0200] "GET /var/m_0/0d/0dd/12455/9114308-G3_SKT2018_03.jpg HTTP/1.1" 200 203350
82.80.249.249 - - [30/Mar/2020:14:06:01 +0200] "GET / HTTP/1.1" 200 7778
82.80.249.249 - - [30/Mar/2020:14:06:03 +0200] "GET /css/extra-fonts.css?v=7.3.44995 HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1577781873 HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1577781873 HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:03 +0200] "GET /css/extra-fonts.css?v=7.3.44995 HTTP/1.1" 200 910
82.80.249.249 - - [30/Mar/2020:14:06:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1577781873 HTTP/1.1" 200 2052
82.80.249.249 - - [30/Mar/2020:14:06:03 +0200] "GET /css/widgets/concat_widget.min.css?v=7.3.44995 HTTP/1.1" 200 30833
82.80.249.249 - - [30/Mar/2020:14:06:03 +0200] "GET /var/m_0/0d/0dd/12455/9114317-G3_SKT2018_06.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:04 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:04 +0200] "GET /var/m_0/0d/0dd/12455/9114329-G3_SKT2018_10.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:06 +0200] "GET /css/skeleton.css HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:07 +0200] "GET /davosersee.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:07 +0200] "GET /kurse.shtml HTTP/1.1" 200 7365
82.80.249.249 - - [30/Mar/2020:14:06:08 +0200] "GET /var/m_0/0d/0dd/12455/9114338-G3_SKT2018_13.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:08 +0200] "GET /var/m_0/0d/0dd/12455/9114335-G3_SKT2018_12.jpg HTTP/1.1" 200 194079
82.80.249.249 - - [30/Mar/2020:14:06:08 +0200] "GET /var/m_0/0d/0dd/12455/6564666-G3_SKT2015_01.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:08 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 6003
82.80.249.249 - - [30/Mar/2020:14:06:08 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:10 +0200] "GET /var/m_0/0d/0dd/12455/6564669-G3_SKT2015_03.jpg HTTP/1.1" 200 114866
82.80.249.249 - - [30/Mar/2020:14:06:10 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:11 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 5583
82.80.249.249 - - [30/Mar/2020:14:06:11 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 6061
82.80.249.249 - - [30/Mar/2020:14:06:11 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:11 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:11 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 6610
82.80.249.249 - - [30/Mar/2020:14:06:11 +0200] "GET /var/m_0/0d/0dd/12455/6564670-G3_SKT2015_04.jpg HTTP/1.1" 200 209464
82.80.249.249 - - [30/Mar/2020:14:06:14 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:14 +0200] "GET /events.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:14 +0200] "GET /events.shtml HTTP/1.1" 200 6211
82.80.249.249 - - [30/Mar/2020:14:06:16 +0200] "GET /var/m_0/0d/0dd/12455/6564676-G3_SKT2015_09.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:16 +0200] "GET /var/m_0/0d/0dd/12455/6564676-G3_SKT2015_09.jpg HTTP/1.1" 200 150721
82.80.249.249 - - [30/Mar/2020:14:06:16 +0200] "GET /event-matchracing.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:16 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 6426
82.80.249.249 - - [30/Mar/2020:14:06:16 +0200] "GET /event-pedalo.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:16 +0200] "GET /event-pedalo.shtml HTTP/1.1" 200 6108
82.80.249.249 - - [30/Mar/2020:14:06:18 +0200] "GET /vermietung.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:18 +0200] "GET /vermietung.shtml HTTP/1.1" 200 6018
82.80.249.249 - - [30/Mar/2020:14:06:18 +0200] "GET /galerie.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:19 +0200] "GET /smartkattrophy.shtml HTTP/1.1" 200 9195
82.80.249.249 - - [30/Mar/2020:14:06:19 +0200] "GET /regatten.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:19 +0200] "GET /galerie.shtml HTTP/1.1" 200 5804
82.80.249.249 - - [30/Mar/2020:14:06:20 +0200] "GET /var/m_0/0d/0dd/12455/6564679-G3_SKT2015_11.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:21 +0200] "GET /galerie-matchracing.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:21 +0200] "GET /var/m_0/0d/0dd/12455/6564681-G3_SKT2015_12.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:22 +0200] "GET /var/m_0/0d/0dd/12455/6564683-G3_SKT2015_14.jpg HTTP/1.1" 200 195006
82.80.249.249 - - [30/Mar/2020:14:06:22 +0200] "GET /var/m_0/0d/0dd/12455/6564682-G3_SKT2015_13.jpg HTTP/1.1" 200 204673
82.80.249.249 - - [30/Mar/2020:14:06:22 +0200] "GET /var/m_0/0d/0dd/12455/6564686-G3_SKT2015_17.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:22 +0200] "GET /var/m_0/0d/0dd/12455/6564686-G3_SKT2015_17.jpg HTTP/1.1" 200 130353
82.80.249.249 - - [30/Mar/2020:14:06:22 +0200] "GET /var/m_0/0d/0dd/12455/6564688-G3_SKT2015_19.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:22 +0200] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 5629
82.80.249.249 - - [30/Mar/2020:14:06:22 +0200] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:23 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:23 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 5696
82.80.249.249 - - [30/Mar/2020:14:06:23 +0200] "GET /var/m_0/0d/0dd/12455/6564688-G3_SKT2015_19.jpg HTTP/1.1" 200 123732
82.80.249.249 - - [30/Mar/2020:14:06:23 +0200] "GET /var/m_0/0d/0dd/12455/6564692-G3_SKT2015_22.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:23 +0200] "GET /var/m_0/0d/0dd/12455/6564690-G3_SKT2015_20.jpg HTTP/1.1" 200 120599
82.80.249.249 - - [30/Mar/2020:14:06:23 +0200] "GET /var/m_0/0d/0dd/12455/6564692-G3_SKT2015_22.jpg HTTP/1.1" 200 137091
82.80.249.249 - - [30/Mar/2020:14:06:24 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 12552
82.80.249.249 - - [30/Mar/2020:14:06:24 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:24 +0200] "GET /standort.shtml HTTP/1.1" 200 6427
82.80.249.249 - - [30/Mar/2020:14:06:25 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:25 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 5357
82.80.249.249 - - [30/Mar/2020:14:06:25 +0200] "GET /var/m_0/0d/0dd/12455/7230938-G4_Event_SK_06.jpg HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:25 +0200] "GET /var/m_0/0d/0dd/12455/7230938-G4_Event_SK_06.jpg HTTP/1.1" 200 67404
82.80.249.249 - - [30/Mar/2020:14:06:25 +0200] "GET /var/m_0/0d/0dd/12455/7230936-G4_Event_SK_04.jpg HTTP/1.1" 200 87335
82.80.249.249 - - [30/Mar/2020:14:06:26 +0200] "GET /var/m_0/0d/0dd/12455/6564694-G3_SKT2015_24.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:29 +0200] "GET /var/m_0/0d/0dd/12455/6564696-G3_SKT2015_26.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:29 +0200] "GET /var/m_0/0d/0dd/12455/6564699-G3_SKT2015_28.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:29 +0200] "GET /var/m_0/0d/0dd/12455/6564696-G3_SKT2015_26.jpg HTTP/1.1" 200 113715
82.80.249.249 - - [30/Mar/2020:14:06:29 +0200] "GET /var/m_0/0d/0dd/12455/6564699-G3_SKT2015_28.jpg HTTP/1.1" 200 120507
82.80.249.249 - - [30/Mar/2020:14:06:31 +0200] "GET /var/m_0/0d/0dd/12455/6564700-G3_SKT2015_29.jpg HTTP/1.1" 200 84446
82.80.249.249 - - [30/Mar/2020:14:06:32 +0200] "GET /var/m_0/0d/0dd/12455/6564701-G3_SKT2015_30.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:32 +0200] "GET /var/m_0/0d/0dd/12455/6564702-G3_SKT2015_31.jpg HTTP/1.1" 200 94697
82.80.249.249 - - [30/Mar/2020:14:06:32 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:32 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
82.80.249.249 - - [30/Mar/2020:14:06:33 +0200] "GET /var/m_0/0d/0dd/12455/7230904-G5_Matchracing_01.jpg HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:33 +0200] "GET /var/m_0/0d/0dd/12455/7230910-G5_Matchracing_07.jpg HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:34 +0200] "GET /var/m_0/0d/0dd/12455/7230910-G5_Matchracing_07.jpg HTTP/1.1" 200 85482
82.80.249.249 - - [30/Mar/2020:14:06:34 +0200] "GET /var/m_0/0d/0dd/12455/7230912-G5_Matchracing_09.jpg HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:34 +0200] "GET /var/m_0/0d/0dd/12455/7230912-G5_Matchracing_09.jpg HTTP/1.1" 200 72435
82.80.249.249 - - [30/Mar/2020:14:06:36 +0200] "GET /var/m_0/0d/0dd/12455/6564706-G3_SKT2015_35.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:36 +0200] "GET /var/m_0/0d/0dd/12455/6564709-G3_SKT2015_37.jpg HTTP/1.1" 200 89585
82.80.249.249 - - [30/Mar/2020:14:06:36 +0200] "GET /var/m_0/0d/0dd/12455/7230981-37_Pedalo3.jpg HTTP/1.1" 200 76841
82.80.249.249 - - [30/Mar/2020:14:06:38 +0200] "GET /var/m_0/0d/0dd/12455/7230969-37_Pedalo2.jpg HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:38 +0200] "GET /var/m_0/0d/0dd/12455/7230969-37_Pedalo2.jpg HTTP/1.1" 200 107785
82.80.249.249 - - [30/Mar/2020:14:06:40 +0200] "GET /smartkat-trophy-2018-copy-1 HTTP/1.1" 404 5186
82.80.249.249 - - [30/Mar/2020:14:06:41 +0200] "GET /var/m_0/0d/0dd/12455/9906326-g3_SKT2019_01-c51ce.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:41 +0200] "GET /var/m_0/0d/0dd/12455/9906326-g3_SKT2019_01-c51ce.w1024.png HTTP/1.1" 200 460520
82.80.249.249 - - [30/Mar/2020:14:06:41 +0200] "GET /var/m_0/0d/0dd/12455/6564712-G3_SKT2015_40.jpg HTTP/1.1" 200 86307
82.80.249.249 - - [30/Mar/2020:14:06:41 +0200] "GET /var/m_0/0d/0dd/12455/6564715-G3_SKT2015_43.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:41 +0200] "GET /var/m_0/0d/0dd/12455/6564713-G3_SKT2015_41.jpg HTTP/1.1" 200 83472
82.80.249.249 - - [30/Mar/2020:14:06:42 +0200] "GET /var/m_0/0d/0dd/12455/6564714-G3_SKT2015_42.jpg HTTP/1.1" 200 66693
82.80.249.249 - - [30/Mar/2020:14:06:42 +0200] "GET /var/m_0/0d/0dd/12455/9906335-g3_SKT2019_03-aab32.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:42 +0200] "GET /var/m_0/0d/0dd/12455/9906341-g3_SKT2019_05-c20ad.w1024.png HTTP/1.1" 200 475000
82.80.249.249 - - [30/Mar/2020:14:06:42 +0200] "GET /var/m_0/0d/0dd/12455/9906338-g3_SKT2019_04-aab32.w1024.png HTTP/1.1" 200 524288
82.80.249.249 - - [30/Mar/2020:14:06:42 +0200] "GET /var/m_0/0d/0dd/12455/9906338-g3_SKT2019_04-aab32.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:43 +0200] "GET /var/m_0/0d/0dd/12455/9906344-g3_SKT2019_06-d3d94.w1024.png HTTP/1.1" 200 443088
82.80.249.249 - - [30/Mar/2020:14:06:44 +0200] "GET /var/m_0/0d/0dd/12455/6564717-G3_SKT2015_45.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:45 +0200] "GET /var/m_0/0d/0dd/12455/9906347-g3_SKT2019_07-16790.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:46 +0200] "GET /var/m_0/0d/0dd/12455/9906350-g3_SKT2019_08-c9f0f.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:46 +0200] "GET /var/m_0/0d/0dd/12455/9906353-g3_SKT2019_09-c20ad.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:47 +0200] "GET /var/m_0/0d/0dd/12455/9906353-g3_SKT2019_09-c20ad.w1024.png HTTP/1.1" 200 469208
82.80.249.249 - - [30/Mar/2020:14:06:47 +0200] "GET /var/m_0/0d/0dd/12455/9906359-g3_SKT2019_10-9bf31.w1024.png HTTP/1.1" 200 463416
82.80.249.249 - - [30/Mar/2020:14:06:47 +0200] "GET /var/m_0/0d/0dd/12455/6564724-G3_SKT2015_51.jpg HTTP/1.1" 301 706
82.80.249.249 - - [30/Mar/2020:14:06:47 +0200] "GET /var/m_0/0d/0dd/12455/6564721-G3_SKT2015_48.jpg HTTP/1.1" 200 99100
82.80.249.249 - - [30/Mar/2020:14:06:47 +0200] "GET /var/m_0/0d/0dd/12455/6564724-G3_SKT2015_51.jpg HTTP/1.1" 200 77336
82.80.249.249 - - [30/Mar/2020:14:06:48 +0200] "GET /var/m_0/0d/0dd/12455/9906362-g3_SKT2019_11-6512b.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:48 +0200] "GET /var/m_0/0d/0dd/12455/9906362-g3_SKT2019_11-6512b.w1024.png HTTP/1.1" 200 461968
82.80.249.249 - - [30/Mar/2020:14:06:49 +0200] "GET /var/m_0/0d/0dd/12455/9906368-g3_SKT2019_13-8f14e.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:49 +0200] "GET /var/m_0/0d/0dd/12455/9906371-g3_SKT2019_14-d3d94.w1024.png HTTP/1.1" 200 452528
82.80.249.249 - - [30/Mar/2020:14:06:49 +0200] "GET /var/m_0/0d/0dd/12455/9906371-g3_SKT2019_14-d3d94.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:49 +0200] "GET /var/m_0/0d/0dd/12455/9906365-g3_SKT2019_12-45c48.w1024.png HTTP/1.1" 301 705
82.80.249.249 - - [30/Mar/2020:14:06:49 +0200] "GET /var/m_0/0d/0dd/12455/9906368-g3_SKT2019_13-8f14e.w1024.png HTTP/1.1" 200 524288
