54.36.148.135 - - [04/Aug/2018:12:08:43 +0200] "GET /var/m_0/0d/0dd/12455/6564739-G3_SKT2015_63.jpg HTTP/1.1" 301 360
178.197.228.146 - - [04/Aug/2018:12:42:52 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
178.197.228.146 - - [04/Aug/2018:12:42:52 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
178.197.228.146 - - [04/Aug/2018:12:42:52 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
178.197.228.146 - - [04/Aug/2018:12:42:52 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
178.197.228.146 - - [04/Aug/2018:12:42:52 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
178.197.228.146 - - [04/Aug/2018:12:43:05 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 30975
178.197.228.146 - - [04/Aug/2018:12:43:09 +0200] "GET /kurse HTTP/1.1" 200 32031
178.197.228.146 - - [04/Aug/2018:12:43:10 +0200] "GET / HTTP/1.1" 200 32718
54.36.148.157 - - [04/Aug/2018:12:47:22 +0200] "GET /var/m_0/0d/0dd/12455/6564684-G3_SKT2015_15.jpg HTTP/1.1" 301 352
216.244.66.248 - - [04/Aug/2018:12:58:28 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Aug/2018:12:58:29 +0200] "GET /robots.txt HTTP/1.1" 200 120
