113.138.133.148 - - [16/Nov/2019:15:08:38 +0100] "GET /event-gruppesmartkat HTTP/1.1" 200 6594
49.228.177.150 - - [16/Nov/2019:16:32:53 +0100] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
49.228.177.150 - - [16/Nov/2019:16:32:53 +0100] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
49.228.177.150 - - [16/Nov/2019:16:32:54 +0100] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
49.228.177.150 - - [16/Nov/2019:16:32:54 +0100] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
49.228.177.150 - - [16/Nov/2019:16:32:54 +0100] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
49.228.177.150 - - [16/Nov/2019:16:32:54 +0100] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
49.228.177.150 - - [16/Nov/2019:16:32:54 +0100] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
66.249.64.116 - - [16/Nov/2019:16:39:41 +0100] "GET /robots.txt HTTP/1.1" 200 120
66.249.64.116 - - [16/Nov/2019:16:39:41 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 5378
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /css/widgets/concat_widget.min.css?v=7.3.44735 HTTP/1.1" 200 22483
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /js/bundles/front_bundle.min.js?v=7.3.44735 HTTP/1.1" 200 46257
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/125492-12_Galerie.jpg HTTP/1.1" 200 34896
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET / HTTP/1.1" 200 6709
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3291
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
178.197.227.244 - - [16/Nov/2019:16:41:15 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
178.197.227.244 - - [16/Nov/2019:16:41:16 +0100] "GET /templates/resellers/7/favicon.ico?v=1571472934 HTTP/1.1" 200 4286
113.143.57.228 - - [16/Nov/2019:16:42:46 +0100] "GET /var/m_0/0d/0dd/12455/143506-G2_Optikurs2014_01.JPG HTTP/1.1" 200 142608
157.0.86.44 - - [16/Nov/2019:16:43:28 +0100] "GET /var/m_0/0d/0dd/12455/6564727-G3_SKT2015_54.jpg HTTP/1.1" 200 105601
66.249.64.116 - - [16/Nov/2019:16:44:45 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 5378
157.55.39.139 - - [16/Nov/2019:16:45:20 +0100] "GET /var/m_0/0d/0dd/12455/6564712-G3_SKT2015_40.jpg HTTP/1.1" 200 86307
157.55.39.61 - - [16/Nov/2019:16:49:09 +0100] "GET /var/m_0/0d/0dd/12455/6564707-G3_SKT2015_36.jpg HTTP/1.1" 200 82600
66.231.185.72 - - [16/Nov/2019:16:55:54 +0100] "GET / HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:56:09 +0100] "GET / HTTP/1.1" 200 7888
66.231.185.72 - - [16/Nov/2019:16:56:18 +0100] "GET /events.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:56:36 +0100] "GET /events.shtml HTTP/1.1" 200 6380
66.231.185.72 - - [16/Nov/2019:16:56:37 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:56:52 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 5786
66.231.185.72 - - [16/Nov/2019:16:56:57 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:57:15 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 6194
66.231.185.72 - - [16/Nov/2019:16:57:21 +0100] "GET /events.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:57:49 +0100] "GET /flotte.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:58:16 +0100] "GET /flotte.shtml HTTP/1.1" 200 7538
66.231.185.72 - - [16/Nov/2019:16:58:16 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:58:30 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:58:35 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 6599
66.231.185.72 - - [16/Nov/2019:16:59:01 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:16:59:09 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 5726
66.231.185.72 - - [16/Nov/2019:16:59:17 +0100] "GET /vermietung.shtml HTTP/1.1" 301 617
40.77.167.222 - - [16/Nov/2019:16:59:28 +0100] "GET /var/m_0/0d/0dd/12455/6564694-G3_SKT2015_24.jpg HTTP/1.1" 200 173621
207.46.13.45 - - [16/Nov/2019:16:59:36 +0100] "GET /var/m_0/0d/0dd/12455/6564685-G3_SKT2015_16.jpg HTTP/1.1" 200 129971
66.231.185.72 - - [16/Nov/2019:16:59:43 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 617
66.231.185.72 - - [16/Nov/2019:17:00:12 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 6165
216.244.66.248 - - [16/Nov/2019:17:01:58 +0100] "GET /gallery/login.php?referer=login.php%3Freferer%3Dlogin.php%253Freferer%253Dlogin.php%25253Freferer%25253Ddisplayimage.php%2525253Falbum%2525253Dtopn%25252526cat%2525253D0%25252526pos%2525253D0 HTTP/1.1" 404 215
121.231.157.251 - - [16/Nov/2019:17:14:03 +0100] "GET /galerie-sktrophy-2015 HTTP/1.1" 404 5331
123.186.228.252 - - [16/Nov/2019:17:14:28 +0100] "GET /pruefungskurs HTTP/1.1" 200 6794
121.57.201.112 - - [16/Nov/2019:17:14:54 +0100] "GET /var/m_0/0d/0dd/12455/143506-G2_Optikurs2014_01.JPG HTTP/1.1" 200 142608
157.55.39.139 - - [16/Nov/2019:17:18:37 +0100] "GET /index.html HTTP/1.1" 200 7882
157.55.39.139 - - [16/Nov/2019:17:18:39 +0100] "GET /var/m_0/0d/0dd/12455/6564706-G3_SKT2015_35.jpg HTTP/1.1" 200 92136
216.244.66.248 - - [16/Nov/2019:17:48:02 +0100] "GET /gallery/login.php?referer=login.php%3Freferer%3Dlogin.php%253Freferer%253Dlogin.php%25253Freferer%25253Ddisplayimage.php%2525253Falbum%2525253Dtopn%25252526cat%2525253D0%25252526pos%2525253D15 HTTP/1.1" 404 215
216.244.66.248 - - [16/Nov/2019:17:48:05 +0100] "GET /gallery/login.php?referer=login.php%3Freferer%3Dlogin.php%253Freferer%253Dlogin.php%25253Freferer%25253Ddisplayimage.php%2525253Falbum%2525253Dtopn%25252526cat%2525253D0%25252526pos%2525253D63 HTTP/1.1" 404 215
60.210.164.227 - - [16/Nov/2019:17:50:29 +0100] "GET /var/m_0/0d/0dd/12455/6564726-G3_SKT2015_53.jpg HTTP/1.1" 200 119632
17.58.100.84 - - [16/Nov/2019:17:58:46 +0100] "GET /robots.txt HTTP/1.1" 301 617
