66.249.64.30 - - [19/Jun/2018:23:11:48 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
84.75.136.68 - - [19/Jun/2018:23:31:42 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
84.75.136.68 - - [19/Jun/2018:23:31:42 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
84.75.136.68 - - [19/Jun/2018:23:31:43 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
84.75.136.68 - - [19/Jun/2018:23:31:43 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
84.75.136.68 - - [19/Jun/2018:23:31:43 +0200] "GET /templates/resellers/7/favicon.ico?v=1529179179 HTTP/1.1" 200 4286
84.75.136.68 - - [19/Jun/2018:23:31:43 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
84.75.136.68 - - [19/Jun/2018:23:32:03 +0200] "GET /flotte.shtml HTTP/1.1" 301 326
84.75.136.68 - - [19/Jun/2018:23:32:03 +0200] "GET /flotte.shtml HTTP/1.1" 200 6277
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
84.75.136.68 - - [19/Jun/2018:23:32:04 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
84.75.136.68 - - [19/Jun/2018:23:32:05 +0200] "GET /templates/resellers/7/favicon.ico?v=1529206743 HTTP/1.1" 200 4286
84.75.136.68 - - [19/Jun/2018:23:33:13 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
216.244.66.248 - - [19/Jun/2018:23:38:38 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [19/Jun/2018:23:38:40 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.79.36 - - [19/Jun/2018:23:45:36 +0200] "GET /robots.txt HTTP/1.1" 301 316
77.75.79.36 - - [19/Jun/2018:23:45:37 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 301 327
123.125.71.53 - - [19/Jun/2018:23:52:45 +0200] "GET /robots.txt HTTP/1.1" 301 324
123.125.71.83 - - [19/Jun/2018:23:52:46 +0200] "GET /robots.txt HTTP/1.1" 200 120
220.181.108.152 - - [19/Jun/2018:23:54:24 +0200] "GET /templates/resellers/7/favicon.ico?v=1467530310 HTTP/1.1" 301 360
220.181.108.171 - - [19/Jun/2018:23:54:25 +0200] "GET /templates/resellers/7/favicon.ico?v=1467530310 HTTP/1.1" 200 4286
213.153.68.24, 66.249.81.90 - - [19/Jun/2018:23:54:58 +0200] "GET /kurse HTTP/1.1" 301 319
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /kurse HTTP/1.1" 200 6248
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
213.153.68.24 - - [19/Jun/2018:23:54:59 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
213.153.68.24 - - [19/Jun/2018:23:55:01 +0200] "GET /templates/resellers/7/favicon.ico?v=1529264389 HTTP/1.1" 200 4286
213.153.68.24 - - [19/Jun/2018:23:58:51 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
